"filename", "language", "CSS", "TypeScript", "HTML", "comment", "blank", "total"
"d:\gitFork\consulttrainfrontend\src\app\page\contractor\contractor.component.css", "CSS", 5, 0, 0, 0, 1, 6
"d:\gitFork\consulttrainfrontend\src\app\page\contractor\contractor.component.html", "HTML", 0, 0, 429, 20, 5, 454
"d:\gitFork\consulttrainfrontend\src\app\page\contractor\contractor.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\page\contractor\contractor.component.ts", "TypeScript", 0, 204, 0, 8, 19, 231
"d:\gitFork\consulttrainfrontend\src\app\page\dashboard\dashboard.component.css", "CSS", 10, 0, 0, 0, 3, 13
"d:\gitFork\consulttrainfrontend\src\app\page\dashboard\dashboard.component.html", "HTML", 0, 0, 96, 5, 3, 104
"d:\gitFork\consulttrainfrontend\src\app\page\dashboard\dashboard.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\page\dashboard\dashboard.component.ts", "TypeScript", 0, 117, 0, 0, 6, 123
"d:\gitFork\consulttrainfrontend\src\app\page\dltype\dltype.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\gitFork\consulttrainfrontend\src\app\page\dltype\dltype.component.html", "HTML", 0, 0, 166, 1, 2, 169
"d:\gitFork\consulttrainfrontend\src\app\page\dltype\dltype.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\page\dltype\dltype.component.ts", "TypeScript", 0, 60, 0, 0, 7, 67
"d:\gitFork\consulttrainfrontend\src\app\page\driverdetail\driverdetail.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\gitFork\consulttrainfrontend\src\app\page\driverdetail\driverdetail.component.html", "HTML", 0, 0, 390, 0, 3, 393
"d:\gitFork\consulttrainfrontend\src\app\page\driverdetail\driverdetail.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\page\driverdetail\driverdetail.component.ts", "TypeScript", 0, 205, 0, 3, 15, 223
"d:\gitFork\consulttrainfrontend\src\app\page\driversreport\driversreport.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\gitFork\consulttrainfrontend\src\app\page\driversreport\driversreport.component.html", "HTML", 0, 0, 1, 0, 1, 2
"d:\gitFork\consulttrainfrontend\src\app\page\driversreport\driversreport.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\page\driversreport\driversreport.component.ts", "TypeScript", 0, 10, 0, 0, 3, 13
"d:\gitFork\consulttrainfrontend\src\app\page\footer\footer.component.css", "CSS", 5, 0, 0, 1, 1, 7
"d:\gitFork\consulttrainfrontend\src\app\page\footer\footer.component.html", "HTML", 0, 0, 11, 0, 1, 12
"d:\gitFork\consulttrainfrontend\src\app\page\footer\footer.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\page\footer\footer.component.ts", "TypeScript", 0, 11, 0, 0, 2, 13
"d:\gitFork\consulttrainfrontend\src\app\page\form-model\form-model.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\gitFork\consulttrainfrontend\src\app\page\form-model\form-model.component.html", "HTML", 0, 0, 99, 3, 2, 104
"d:\gitFork\consulttrainfrontend\src\app\page\form-model\form-model.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\page\form-model\form-model.component.ts", "TypeScript", 0, 33, 0, 2, 4, 39
"d:\gitFork\consulttrainfrontend\src\app\page\form\form.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\gitFork\consulttrainfrontend\src\app\page\form\form.component.html", "HTML", 0, 0, 91, 0, 1, 92
"d:\gitFork\consulttrainfrontend\src\app\page\form\form.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\page\form\form.component.ts", "TypeScript", 0, 15, 0, 0, 2, 17
"d:\gitFork\consulttrainfrontend\src\app\page\guestdashboard\guestdashboard.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\gitFork\consulttrainfrontend\src\app\page\guestdashboard\guestdashboard.component.html", "HTML", 0, 0, 1, 0, 1, 2
"d:\gitFork\consulttrainfrontend\src\app\page\guestdashboard\guestdashboard.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\page\guestdashboard\guestdashboard.component.ts", "TypeScript", 0, 10, 0, 0, 3, 13
"d:\gitFork\consulttrainfrontend\src\app\page\layout\layout.component.css", "CSS", 6, 0, 0, 0, 1, 7
"d:\gitFork\consulttrainfrontend\src\app\page\layout\layout.component.html", "HTML", 0, 0, 181, 7, 6, 194
"d:\gitFork\consulttrainfrontend\src\app\page\layout\layout.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\page\layout\layout.component.ts", "TypeScript", 0, 92, 0, 2, 7, 101
"d:\gitFork\consulttrainfrontend\src\app\page\location\location.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\gitFork\consulttrainfrontend\src\app\page\location\location.component.html", "HTML", 0, 0, 171, 1, 2, 174
"d:\gitFork\consulttrainfrontend\src\app\page\location\location.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\page\location\location.component.ts", "TypeScript", 0, 60, 0, 0, 7, 67
"d:\gitFork\consulttrainfrontend\src\app\page\login\login.component.css", "CSS", 127, 0, 0, 2, 21, 150
"d:\gitFork\consulttrainfrontend\src\app\page\login\login.component.html", "HTML", 0, 0, 63, 1, 3, 67
"d:\gitFork\consulttrainfrontend\src\app\page\login\login.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\page\login\login.component.ts", "TypeScript", 0, 50, 0, 3, 5, 58
"d:\gitFork\consulttrainfrontend\src\app\page\pagenotfound\pagenotfound.component.css", "CSS", 87, 0, 0, 0, 3, 90
"d:\gitFork\consulttrainfrontend\src\app\page\pagenotfound\pagenotfound.component.html", "HTML", 0, 0, 68, 0, 2, 70
"d:\gitFork\consulttrainfrontend\src\app\page\pagenotfound\pagenotfound.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\page\pagenotfound\pagenotfound.component.ts", "TypeScript", 0, 15, 0, 0, 2, 17
"d:\gitFork\consulttrainfrontend\src\app\page\result\result.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\gitFork\consulttrainfrontend\src\app\page\result\result.component.html", "HTML", 0, 0, 159, 1, 2, 162
"d:\gitFork\consulttrainfrontend\src\app\page\result\result.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\page\result\result.component.ts", "TypeScript", 0, 60, 0, 0, 7, 67
"d:\gitFork\consulttrainfrontend\src\app\page\stage\stage.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\gitFork\consulttrainfrontend\src\app\page\stage\stage.component.html", "HTML", 0, 0, 157, 1, 2, 160
"d:\gitFork\consulttrainfrontend\src\app\page\stage\stage.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\page\stage\stage.component.ts", "TypeScript", 0, 60, 0, 0, 7, 67
"d:\gitFork\consulttrainfrontend\src\app\page\title\title.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\gitFork\consulttrainfrontend\src\app\page\title\title.component.html", "HTML", 0, 0, 157, 1, 2, 160
"d:\gitFork\consulttrainfrontend\src\app\page\title\title.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\page\title\title.component.ts", "TypeScript", 0, 60, 0, 0, 7, 67
"d:\gitFork\consulttrainfrontend\src\app\page\trainers\trainers.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\gitFork\consulttrainfrontend\src\app\page\trainers\trainers.component.html", "HTML", 0, 0, 249, 1, 2, 252
"d:\gitFork\consulttrainfrontend\src\app\page\trainers\trainers.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\page\trainers\trainers.component.ts", "TypeScript", 0, 79, 0, 1, 9, 89
"d:\gitFork\consulttrainfrontend\src\app\page\unauthorized\unauthorized.component.css", "CSS", 40, 0, 0, 0, 2, 42
"d:\gitFork\consulttrainfrontend\src\app\page\unauthorized\unauthorized.component.html", "HTML", 0, 0, 35, 0, 2, 37
"d:\gitFork\consulttrainfrontend\src\app\page\unauthorized\unauthorized.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\page\unauthorized\unauthorized.component.ts", "TypeScript", 0, 9, 0, 0, 2, 11
